Vardas              Pavarde             ND1    ND2    ND3    ND4    ND5    Egz.   
Vardas230           Pavarde230          3      4      2      9      5      1      
Vardas231           Pavarde231          8      2      6      9      9      2      
Vardas232           Pavarde232          4      8      1      10     7      2      
Vardas233           Pavarde233          9      10     10     3      5      1      
Vardas234           Pavarde234          1      7      3      7      8      6      
Vardas235           Pavarde235          5      5      7      3      9      2      
Vardas236           Pavarde236          6      1      4      1      10     8      
Vardas237           Pavarde237          3      2      10     2      1      10     
Vardas238           Pavarde238          6      4      4      7      8      1      
Vardas239           Pavarde239          10     5      1      6      6      6      
Vardas240           Pavarde240          1      5      7      3      5      2      
Vardas241           Pavarde241          6      4      9      3      8      4      
Vardas242           Pavarde242          6      1      9      8      7      3      
Vardas243           Pavarde243          6      2      9      9      8      7      
Vardas244           Pavarde244          7      4      3      9      4      9      
Vardas245           Pavarde245          10     9      2      10     8      2      
Vardas246           Pavarde246          8      7      6      7      7      10     
Vardas247           Pavarde247          8      2      5      1      3      10     
Vardas248           Pavarde248          2      8      1      4      5      7      
Vardas249           Pavarde249          8      4      3      5      2      5      
Vardas250           Pavarde250          2      10     1      2      9      6      
Vardas251           Pavarde251          6      3      1      1      7      10     
Vardas252           Pavarde252          1      4      2      2      4      10     
Vardas253           Pavarde253          9      2      8      3      9      7      
Vardas254           Pavarde254          4      4      10     6      2      10     
Vardas255           Pavarde255          4      8      2      9      4      10     
Vardas256           Pavarde256          5      6      7      6      9      5      
Vardas257           Pavarde257          8      2      4      5      7      9      
Vardas258           Pavarde258          3      3      10     9      6      8      
Vardas259           Pavarde259          7      4      8      6      10     3      
Vardas260           Pavarde260          8      5      3      4      8      10     
Vardas261           Pavarde261          7      8      6      5      3      9      
Vardas262           Pavarde262          5      7      3      6      1      2      
Vardas263           Pavarde263          5      7      5      10     4      9      
Vardas264           Pavarde264          10     9      4      7      3      1      
Vardas265           Pavarde265          7      10     7      7      10     10     
Vardas266           Pavarde266          2      1      3      4      2      7      
Vardas267           Pavarde267          10     1      9      2      2      10     
Vardas268           Pavarde268          10     1      4      10     2      4      
Vardas269           Pavarde269          2      7      6      7      5      10     
Vardas270           Pavarde270          1      3      8      4      2      10     
Vardas271           Pavarde271          5      10     4      10     5      7      
Vardas272           Pavarde272          4      5      6      6      6      1      
Vardas273           Pavarde273          5      6      8      5      10     7      
Vardas274           Pavarde274          10     2      8      5      6      9      
Vardas275           Pavarde275          8      8      6      3      1      7      
Vardas276           Pavarde276          3      10     6      5      8      3      
Vardas277           Pavarde277          6      4      6      8      5      6      
Vardas278           Pavarde278          6      2      3      7      5      7      
Vardas279           Pavarde279          9      4      5      6      6      6      
Vardas280           Pavarde280          9      10     6      8      3      9      
Vardas281           Pavarde281          7      3      6      1      7      4      
Vardas282           Pavarde282          10     4      7      2      4      5      
Vardas283           Pavarde283          5      7      8      3      9      4      
Vardas284           Pavarde284          8      6      5      3      3      8      
Vardas285           Pavarde285          3      7      7      7      1      3      
Vardas286           Pavarde286          3      9      7      6      7      1      
Vardas287           Pavarde287          1      7      3      5      2      5      
Vardas288           Pavarde288          6      4      2      3      8      6      
Vardas289           Pavarde289          7      4      2      3      10     8      
Vardas290           Pavarde290          1      7      5      2      2      5      
Vardas291           Pavarde291          3      8      6      1      7      8      
Vardas292           Pavarde292          9      2      8      3      10     3      
Vardas293           Pavarde293          9      8      1      10     5      10     
Vardas294           Pavarde294          4      7      6      7      7      10     
Vardas295           Pavarde295          2      10     5      4      5      4      
Vardas296           Pavarde296          8      6      2      2      9      5      
Vardas297           Pavarde297          10     3      10     2      3      3      
Vardas298           Pavarde298          3      5      2      10     5      5      
Vardas299           Pavarde299          9      8      1      6      4      5      
Vardas300           Pavarde300          7      1      5      2      1      8      
Vardas301           Pavarde301          7      1      3      6      2      5      
Vardas302           Pavarde302          3      2      10     7      9      2      
Vardas303           Pavarde303          7      7      8      7      1      5      
Vardas304           Pavarde304          9      1      3      10     9      9      
Vardas305           Pavarde305          3      6      4      5      5      7      
Vardas306           Pavarde306          4      10     1      7      10     2      
Vardas307           Pavarde307          4      9      7      1      4      6      
Vardas308           Pavarde308          4      7      10     5      2      4      
Vardas309           Pavarde309          4      8      3      9      5      8      
Vardas310           Pavarde310          7      8      10     10     4      6      
Vardas311           Pavarde311          9      6      1      8      9      2      
Vardas312           Pavarde312          8      3      1      8      2      7      
Vardas313           Pavarde313          9      3      2      5      7      6      
Vardas314           Pavarde314          2      8      1      3      4      6      
Vardas315           Pavarde315          8      6      1      3      7      1      
Vardas316           Pavarde316          3      4      4      3      5      5      
Vardas317           Pavarde317          9      4      10     9      9      2      
Vardas318           Pavarde318          3      7      4      4      3      2      
Vardas319           Pavarde319          7      3      1      2      6      5      
Vardas320           Pavarde320          4      7      4      7      3      2      
Vardas321           Pavarde321          5      4      7      1      3      2      
Vardas322           Pavarde322          8      5      6      10     3      8      
Vardas323           Pavarde323          5      5      5      1      8      10     
Vardas324           Pavarde324          6      4      1      3      5      1      
Vardas325           Pavarde325          2      9      6      2      8      4      
Vardas326           Pavarde326          8      3      9      1      8      5      
Vardas327           Pavarde327          8      8      7      4      10     9      
Vardas328           Pavarde328          3      3      9      7      9      3      
Vardas329           Pavarde329          8      10     4      7      8      9      
Vardas330           Pavarde330          6      8      9      1      6      6      
Vardas331           Pavarde331          10     1      4      4      7      4      
Vardas332           Pavarde332          2      3      10     7      9      1      
Vardas333           Pavarde333          8      4      10     7      8      7      
Vardas334           Pavarde334          8      7      5      7      8      7      
Vardas335           Pavarde335          6      5      10     5      6      2      
Vardas336           Pavarde336          6      8      10     5      1      8      
Vardas337           Pavarde337          3      9      3      5      3      4      
Vardas338           Pavarde338          2      3      1      7      6      8      
Vardas339           Pavarde339          5      4      5      6      8      7      
Vardas340           Pavarde340          2      7      5      7      7      6      
Vardas341           Pavarde341          8      10     10     10     1      5      
Vardas342           Pavarde342          5      2      10     4      6      6      
Vardas343           Pavarde343          6      3      9      1      8      6      
Vardas344           Pavarde344          9      10     3      10     10     5      
Vardas345           Pavarde345          3      2      3      9      1      4      
Vardas346           Pavarde346          9      2      3      6      1      3      
Vardas347           Pavarde347          3      1      3      10     3      5      
Vardas348           Pavarde348          3      3      7      5      1      6      
Vardas349           Pavarde349          2      5      6      3      10     6      
Vardas350           Pavarde350          1      5      4      7      10     9      
Vardas351           Pavarde351          1      9      9      1      7      4      
Vardas352           Pavarde352          7      10     1      8      3      2      
Vardas353           Pavarde353          1      6      9      1      7      2      
Vardas354           Pavarde354          7      1      8      1      5      3      
Vardas355           Pavarde355          8      4      1      1      7      9      
Vardas356           Pavarde356          2      7      3      6      1      2      
Vardas357           Pavarde357          8      5      4      8      6      9      
Vardas358           Pavarde358          3      10     3      7      5      4      
Vardas359           Pavarde359          6      3      1      8      9      9      
Vardas360           Pavarde360          9      5      5      8      10     3      
Vardas361           Pavarde361          10     4      7      1      9      3      
Vardas362           Pavarde362          2      10     5      3      5      8      
Vardas363           Pavarde363          2      5      8      3      1      4      
Vardas364           Pavarde364          9      7      3      5      5      6      
Vardas365           Pavarde365          1      5      8      3      4      7      
Vardas366           Pavarde366          2      4      2      5      4      6      
Vardas367           Pavarde367          8      1      2      7      7      7      
Vardas368           Pavarde368          10     7      1      5      7      5      
Vardas369           Pavarde369          8      10     7      4      3      6      
Vardas370           Pavarde370          7      5      1      9      1      9      
Vardas371           Pavarde371          5      10     9      7      9      5      
Vardas372           Pavarde372          5      8      3      6      3      2      
Vardas373           Pavarde373          7      1      7      4      3      6      
Vardas374           Pavarde374          10     4      4      4      10     9      
Vardas375           Pavarde375          10     10     8      6      10     7      
Vardas376           Pavarde376          8      7      1      4      3      10     
Vardas377           Pavarde377          7      7      5      3      10     3      
Vardas378           Pavarde378          10     1      5      3      9      7      
Vardas379           Pavarde379          8      1      7      6      9      4      
Vardas380           Pavarde380          3      10     2      6      4      4      
Vardas381           Pavarde381          7      9      8      6      2      10     
Vardas382           Pavarde382          1      3      10     8      2      6      
Vardas383           Pavarde383          7      2      7      6      6      2      
Vardas384           Pavarde384          10     6      2      2      2      8      
Vardas385           Pavarde385          9      2      1      7      4      2      
Vardas386           Pavarde386          9      1      10     7      9      6      
Vardas387           Pavarde387          5      7      2      7      5      2      
Vardas388           Pavarde388          5      4      8      4      5      10     
Vardas389           Pavarde389          1      2      2      2      10     9      
Vardas390           Pavarde390          3      4      6      4      6      8      
Vardas391           Pavarde391          9      1      4      7      3      3      
Vardas392           Pavarde392          9      3      4      8      7      7      
Vardas393           Pavarde393          8      1      5      7      2      6      
Vardas394           Pavarde394          5      3      2      9      7      9      
Vardas395           Pavarde395          9      2      8      6      1      3      
Vardas396           Pavarde396          7      5      7      1      6      5      
Vardas397           Pavarde397          3      10     7      10     3      7      
Vardas398           Pavarde398          8      3      3      7      3      8      
Vardas399           Pavarde399          2      7      1      5      6      7      
Vardas400           Pavarde400          2      10     9      10     8      9      
Vardas401           Pavarde401          8      9      8      6      9      10     
Vardas402           Pavarde402          4      4      2      9      9      6      
Vardas403           Pavarde403          6      10     1      5      6      6      
Vardas404           Pavarde404          1      6      8      4      4      5      
Vardas405           Pavarde405          9      2      7      9      10     7      
Vardas406           Pavarde406          4      7      5      10     8      7      
Vardas407           Pavarde407          10     4      3      1      8      10     
Vardas408           Pavarde408          10     2      5      4      3      2      
Vardas409           Pavarde409          10     2      8      5      10     5      
Vardas410           Pavarde410          2      5      4      9      2      6      
Vardas411           Pavarde411          10     5      8      7      10     4      
Vardas412           Pavarde412          3      1      6      5      1      4      
Vardas413           Pavarde413          8      7      8      10     1      4      
Vardas414           Pavarde414          7      9      3      1      6      2      
Vardas415           Pavarde415          10     2      5      1      10     10     
Vardas416           Pavarde416          8      3      4      8      1      6      
Vardas417           Pavarde417          10     9      2      8      8      2      
Vardas418           Pavarde418          10     5      5      5      3      1      
Vardas419           Pavarde419          8      6      4      6      5      1      
Vardas420           Pavarde420          7      6      5      9      5      6      
Vardas421           Pavarde421          7      7      6      5      1      6      
Vardas422           Pavarde422          1      8      3      1      2      10     
Vardas423           Pavarde423          3      4      10     4      5      7      
Vardas424           Pavarde424          2      9      2      5      3      6      
Vardas425           Pavarde425          7      9      3      2      6      4      
Vardas426           Pavarde426          9      9      1      4      4      3      
Vardas427           Pavarde427          2      5      10     9      9      5      
Vardas428           Pavarde428          8      2      7      3      3      2      
Vardas429           Pavarde429          1      8      7      2      2      6      
Vardas430           Pavarde430          4      10     9      5      7      3      
Vardas431           Pavarde431          5      4      5      10     1      4      
Vardas432           Pavarde432          1      3      6      6      9      9      
Vardas433           Pavarde433          2      7      2      6      8      3      
Vardas434           Pavarde434          3      6      2      9      10     6      
Vardas435           Pavarde435          3      1      7      3      9      6      
Vardas436           Pavarde436          4      10     4      10     5      7      
Vardas437           Pavarde437          4      10     2      2      9      5      
Vardas438           Pavarde438          3      3      10     10     5      5      
Vardas439           Pavarde439          1      2      1      1      5      4      
Vardas440           Pavarde440          7      8      7      6      5      3      
Vardas441           Pavarde441          4      7      5      5      7      8      
Vardas442           Pavarde442          8      8      6      7      7      5      
Vardas443           Pavarde443          4      5      1      4      3      10     
Vardas444           Pavarde444          4      7      4      9      2      5      
Vardas445           Pavarde445          9      4      9      10     1      6      
Vardas446           Pavarde446          1      6      8      4      7      8      
Vardas447           Pavarde447          3      1      5      1      9      5      
Vardas448           Pavarde448          3      6      1      9      7      1      
Vardas449           Pavarde449          1      3      6      8      5      8      
Vardas450           Pavarde450          7      7      4      2      2      1      
Vardas451           Pavarde451          4      1      2      3      8      7      
Vardas452           Pavarde452          5      10     8      1      6      9      
Vardas453           Pavarde453          2      1      8      4      8      4      
Vardas454           Pavarde454          1      9      4      2      2      5      
Vardas455           Pavarde455          6      4      7      1      8      3      
Vardas456           Pavarde456          5      10     1      8      5      10     
Vardas457           Pavarde457          9      8      10     2      2      10     
Vardas458           Pavarde458          6      2      2      4      7      1      
Vardas459           Pavarde459          8      7      7      6      9      5      
Vardas460           Pavarde460          9      4      9      9      5      8      
Vardas461           Pavarde461          4      10     8      10     6      6      
Vardas462           Pavarde462          3      8      10     2      5      5      
Vardas463           Pavarde463          2      5      1      8      6      4      
Vardas464           Pavarde464          6      8      10     4      2      4      
Vardas465           Pavarde465          8      3      3      6      6      3      
Vardas466           Pavarde466          1      5      6      3      4      6      
Vardas467           Pavarde467          3      2      4      7      10     1      
Vardas468           Pavarde468          5      8      1      1      5      4      
Vardas469           Pavarde469          4      1      1      4      1      1      
Vardas470           Pavarde470          4      6      2      3      10     1      
Vardas471           Pavarde471          6      9      5      1      7      3      
Vardas472           Pavarde472          3      2      1      1      10     10     
Vardas473           Pavarde473          3      4      4      4      1      3      
Vardas474           Pavarde474          9      3      5      1      4      2      
Vardas475           Pavarde475          4      6      10     9      4      8      
Vardas476           Pavarde476          1      8      1      8      2      2      
Vardas477           Pavarde477          8      3      7      2      7      6      
Vardas478           Pavarde478          1      5      1      2      3      9      
Vardas479           Pavarde479          5      1      3      2      3      2      
Vardas480           Pavarde480          3      10     1      8      7      2      
Vardas481           Pavarde481          8      5      5      3      6      4      
Vardas482           Pavarde482          3      9      2      5      8      2      
Vardas483           Pavarde483          10     10     10     9      5      7      
Vardas484           Pavarde484          6      2      5      5      5      8      
Vardas485           Pavarde485          10     7      4      2      9      3      
Vardas486           Pavarde486          1      9      10     6      4      4      
Vardas487           Pavarde487          1      2      7      8      4      8      
Vardas488           Pavarde488          10     10     2      8      3      10     
Vardas489           Pavarde489          9      1      3      9      5      6      
Vardas490           Pavarde490          7      10     5      2      6      8      
Vardas491           Pavarde491          4      7      2      6      4      2      
Vardas492           Pavarde492          7      10     3      7      8      6      
Vardas493           Pavarde493          9      1      3      9      5      9      
Vardas494           Pavarde494          5      3      1      1      9      8      
Vardas495           Pavarde495          3      9      9      6      7      9      
Vardas496           Pavarde496          10     6      3      4      2      1      
Vardas497           Pavarde497          2      9      6      4      3      6      
Vardas498           Pavarde498          8      9      10     10     6      9      
Vardas499           Pavarde499          7      8      9      2      10     4      
Vardas500           Pavarde500          4      9      3      1      9      10     
Vardas501           Pavarde501          7      10     7      5      8      4      
Vardas502           Pavarde502          1      10     2      2      1      8      
Vardas503           Pavarde503          6      4      2      6      6      7      
Vardas504           Pavarde504          5      8      1      5      6      9      
Vardas505           Pavarde505          9      7      2      7      3      2      
Vardas506           Pavarde506          7      7      5      8      5      6      
Vardas507           Pavarde507          3      1      5      4      7      5      
Vardas508           Pavarde508          5      6      6      4      1      4      
Vardas509           Pavarde509          10     9      8      4      10     8      
Vardas510           Pavarde510          7      7      1      7      8      2      
Vardas511           Pavarde511          6      7      8      4      5      4      
Vardas512           Pavarde512          10     3      5      8      7      8      
Vardas513           Pavarde513          4      7      5      7      10     4      
Vardas514           Pavarde514          8      4      2      8      1      8      
Vardas515           Pavarde515          7      7      3      5      4      9      
Vardas516           Pavarde516          10     7      7      6      10     4      
Vardas517           Pavarde517          10     10     2      2      10     5      
Vardas518           Pavarde518          3      7      1      4      3      4      
Vardas519           Pavarde519          4      6      9      6      9      10     
Vardas520           Pavarde520          3      5      1      5      2      3      
Vardas521           Pavarde521          10     7      4      3      8      3      
Vardas522           Pavarde522          3      5      8      9      2      3      
Vardas523           Pavarde523          8      10     8      1      7      8      
Vardas524           Pavarde524          10     3      2      2      7      4      
Vardas525           Pavarde525          5      2      4      3      5      1      
Vardas526           Pavarde526          9      10     1      4      5      6      
Vardas527           Pavarde527          3      9      5      1      6      10     
Vardas528           Pavarde528          2      8      4      1      5      7      
Vardas529           Pavarde529          1      5      8      6      9      8      
Vardas530           Pavarde530          8      5      10     10     4      4      
Vardas531           Pavarde531          7      1      1      9      2      9      
Vardas532           Pavarde532          2      9      1      9      7      3      
Vardas533           Pavarde533          4      3      3      9      1      1      
Vardas534           Pavarde534          9      1      9      10     2      2      
Vardas535           Pavarde535          6      3      5      7      7      9      
