Vardas              Pavarde             ND1    ND2    ND3    ND4    ND5    Egz.   
Vardas81            Pavarde81           5      1      5      6      10     9      
Vardas82            Pavarde82           4      10     8      8      1      10     
Vardas83            Pavarde83           7      10     4      1      6      5      
Vardas84            Pavarde84           9      7      8      6      8      8      
Vardas85            Pavarde85           5      4      10     2      7      4      
Vardas86            Pavarde86           8      9      3      6      10     4      
Vardas87            Pavarde87           9      10     6      9      4      10     
Vardas88            Pavarde88           6      2      6      5      8      5      
Vardas89            Pavarde89           7      7      9      1      1      2      
Vardas90            Pavarde90           6      9      1      9      5      5      
Vardas91            Pavarde91           3      1      6      7      3      4      
Vardas92            Pavarde92           1      4      7      5      2      4      
Vardas93            Pavarde93           4      5      4      1      5      6      
Vardas94            Pavarde94           4      5      9      10     3      5      
Vardas95            Pavarde95           1      4      2      7      1      10     
Vardas96            Pavarde96           6      6      2      9      10     6      
Vardas97            Pavarde97           7      8      5      1      4      10     
Vardas98            Pavarde98           4      2      10     4      8      10     
Vardas99            Pavarde99           2      2      8      9      10     3      
Vardas100           Pavarde100          5      1      9      10     9      7      
Vardas101           Pavarde101          5      1      10     8      8      5      
Vardas102           Pavarde102          1      1      1      3      8      1      
Vardas103           Pavarde103          2      10     9      4      4      4      
Vardas104           Pavarde104          10     10     7      9      2      1      
Vardas105           Pavarde105          5      2      3      10     4      4      
Vardas106           Pavarde106          3      2      9      2      6      4      
Vardas107           Pavarde107          10     7      10     2      8      9      
Vardas108           Pavarde108          6      1      6      5      3      4      
Vardas109           Pavarde109          6      3      4      9      8      3      
Vardas110           Pavarde110          9      8      2      9      7      7      
Vardas111           Pavarde111          7      8      4      5      9      7      
Vardas112           Pavarde112          4      1      3      5      7      2      
Vardas113           Pavarde113          4      2      6      2      7      7      
Vardas114           Pavarde114          7      10     5      5      9      2      
Vardas115           Pavarde115          7      2      3      4      9      1      
Vardas116           Pavarde116          8      8      6      3      1      7      
Vardas117           Pavarde117          10     3      7      10     8      7      
Vardas118           Pavarde118          10     8      5      4      7      8      
Vardas119           Pavarde119          3      4      3      8      1      2      
Vardas120           Pavarde120          4      7      5      5      10     3      
Vardas121           Pavarde121          7      8      10     9      6      6      
Vardas122           Pavarde122          2      2      3      8      4      6      
Vardas123           Pavarde123          4      3      3      3      6      4      
Vardas124           Pavarde124          5      6      9      3      7      9      
Vardas125           Pavarde125          10     5      6      9      9      8      
Vardas126           Pavarde126          2      7      2      3      2      7      
Vardas127           Pavarde127          9      10     4      5      5      1      
Vardas128           Pavarde128          6      2      3      5      8      8      
Vardas129           Pavarde129          2      2      8      3      7      9      
Vardas130           Pavarde130          8      5      2      4      4      6      
Vardas131           Pavarde131          7      9      7      4      8      4      
Vardas132           Pavarde132          7      9      1      2      1      8      
Vardas133           Pavarde133          2      9      4      10     5      2      
Vardas134           Pavarde134          6      2      10     6      2      2      
Vardas135           Pavarde135          3      9      1      5      5      2      
Vardas136           Pavarde136          7      9      10     10     3      10     
Vardas137           Pavarde137          4      6      6      7      9      8      
Vardas138           Pavarde138          10     6      9      5      3      9      
Vardas139           Pavarde139          4      4      7      9      8      4      
Vardas140           Pavarde140          5      9      5      2      2      4      
Vardas141           Pavarde141          7      4      7      2      4      10     
Vardas142           Pavarde142          4      2      1      6      9      4      
Vardas143           Pavarde143          9      9      10     2      7      5      
Vardas144           Pavarde144          5      5      10     7      9      9      
Vardas145           Pavarde145          9      1      4      1      2      5      
Vardas146           Pavarde146          10     2      1      5      10     1      
Vardas147           Pavarde147          8      3      5      10     1      2      
Vardas148           Pavarde148          9      3      2      4      4      9      
Vardas149           Pavarde149          3      4      7      6      2      10     
Vardas150           Pavarde150          4      8      3      5      3      10     
Vardas151           Pavarde151          9      9      7      1      6      6      
Vardas152           Pavarde152          2      5      1      10     4      9      
Vardas153           Pavarde153          10     10     7      2      7      9      
Vardas154           Pavarde154          8      6      5      6      10     9      
Vardas155           Pavarde155          3      8      8      9      9      5      
Vardas156           Pavarde156          4      3      3      4      8      10     
Vardas157           Pavarde157          10     6      8      5      4      3      
Vardas158           Pavarde158          2      10     6      6      6      9      
Vardas159           Pavarde159          3      10     8      2      2      3      
Vardas160           Pavarde160          8      8      3      3      8      1      
Vardas161           Pavarde161          7      3      10     2      6      3      
Vardas162           Pavarde162          2      9      4      2      10     8      
Vardas163           Pavarde163          5      3      5      8      6      9      
Vardas164           Pavarde164          6      9      7      7      8      7      
Vardas165           Pavarde165          4      10     8      10     4      2      
Vardas166           Pavarde166          8      4      2      5      1      2      
Vardas167           Pavarde167          6      10     2      3      10     4      
Vardas168           Pavarde168          1      9      6      7      2      7      
Vardas169           Pavarde169          5      7      10     8      1      4      
Vardas170           Pavarde170          5      10     10     10     7      5      
Vardas171           Pavarde171          8      5      4      7      10     9      
Vardas172           Pavarde172          4      4      3      8      7      4      
Vardas173           Pavarde173          6      7      6      2      10     7      
Vardas174           Pavarde174          5      10     1      7      5      8      
Vardas175           Pavarde175          2      3      8      6      3      10     
Vardas176           Pavarde176          7      5      1      9      8      10     
Vardas177           Pavarde177          10     1      6      9      8      9      
Vardas178           Pavarde178          4      10     8      1      2      5      
Vardas179           Pavarde179          6      5      10     5      7      6      
Vardas180           Pavarde180          9      4      4      4      8      8      
Vardas181           Pavarde181          7      6      3      9      9      1      
Vardas182           Pavarde182          8      6      8      2      5      5      
Vardas183           Pavarde183          6      10     8      8      1      6      
Vardas184           Pavarde184          2      9      8      4      9      2      
Vardas185           Pavarde185          3      9      2      4      5      4      
Vardas186           Pavarde186          9      6      7      8      2      8      
Vardas187           Pavarde187          7      7      4      5      2      5      
Vardas188           Pavarde188          10     7      10     3      7      6      
Vardas189           Pavarde189          7      6      4      4      2      1      
Vardas190           Pavarde190          1      3      10     1      10     3      
Vardas191           Pavarde191          5      1      10     10     3      7      
Vardas192           Pavarde192          10     3      2      10     7      3      
Vardas193           Pavarde193          2      4      7      10     1      1      
Vardas194           Pavarde194          10     7      5      8      8      6      
Vardas195           Pavarde195          5      7      6      7      9      3      
Vardas196           Pavarde196          5      9      7      9      2      7      
Vardas197           Pavarde197          2      3      6      9      9      4      
Vardas198           Pavarde198          10     8      10     3      6      2      
Vardas199           Pavarde199          6      10     1      9      3      5      
Vardas200           Pavarde200          8      8      5      5      9      3      
Vardas201           Pavarde201          5      7      8      3      6      7      
Vardas202           Pavarde202          9      2      10     9      6      3      
Vardas203           Pavarde203          4      7      3      1      9      4      
Vardas204           Pavarde204          9      1      2      7      6      9      
Vardas205           Pavarde205          7      1      6      2      1      4      
Vardas206           Pavarde206          10     7      10     4      7      9      
Vardas207           Pavarde207          8      3      5      7      9      4      
Vardas208           Pavarde208          6      10     2      8      3      6      
Vardas209           Pavarde209          2      7      2      8      2      6      
Vardas210           Pavarde210          2      3      3      9      7      2      
Vardas211           Pavarde211          2      8      3      2      6      2      
Vardas212           Pavarde212          3      6      5      9      7      6      
Vardas213           Pavarde213          2      9      9      5      3      7      
Vardas214           Pavarde214          7      5      7      6      7      7      
Vardas215           Pavarde215          1      7      3      3      2      5      
Vardas216           Pavarde216          10     10     6      6      10     6      
Vardas217           Pavarde217          5      10     6      9      3      5      
Vardas218           Pavarde218          7      1      2      7      8      5      
Vardas219           Pavarde219          5      8      6      1      2      10     
Vardas220           Pavarde220          3      5      6      9      5      1      
Vardas221           Pavarde221          8      9      3      8      2      8      
Vardas222           Pavarde222          1      1      9      10     9      8      
Vardas223           Pavarde223          6      8      5      7      1      6      
Vardas224           Pavarde224          3      8      2      6      9      10     
Vardas225           Pavarde225          3      8      6      9      4      8      
Vardas226           Pavarde226          1      6      2      10     4      9      
Vardas227           Pavarde227          7      6      8      2      7      6      
Vardas228           Pavarde228          7      2      10     3      9      4      
Vardas229           Pavarde229          7      2      3      7      7      2      
Vardas230           Pavarde230          5      4      1      6      3      8      
Vardas231           Pavarde231          1      7      5      8      8      10     
Vardas232           Pavarde232          10     9      5      6      1      5      
Vardas233           Pavarde233          2      4      5      10     4      2      
Vardas234           Pavarde234          8      9      4      2      3      6      
Vardas235           Pavarde235          9      7      10     2      9      10     
Vardas236           Pavarde236          2      9      5      5      5      10     
Vardas237           Pavarde237          7      7      3      1      2      6      
Vardas238           Pavarde238          4      4      8      10     7      5      
Vardas239           Pavarde239          10     8      3      1      1      8      
Vardas240           Pavarde240          4      1      9      4      9      9      
Vardas241           Pavarde241          3      5      6      10     3      6      
Vardas242           Pavarde242          4      8      10     4      9      8      
Vardas243           Pavarde243          6      8      8      6      4      2      
Vardas244           Pavarde244          9      9      1      5      6      10     
Vardas245           Pavarde245          5      9      1      9      4      4      
Vardas246           Pavarde246          1      8      8      2      5      5      
Vardas247           Pavarde247          5      1      1      5      1      6      
Vardas248           Pavarde248          8      8      6      4      6      4      
Vardas249           Pavarde249          8      2      2      9      9      8      
Vardas250           Pavarde250          10     1      4      5      8      6      
Vardas251           Pavarde251          4      8      7      9      3      9      
Vardas252           Pavarde252          9      10     10     7      10     4      
Vardas253           Pavarde253          10     8      8      7      4      9      
Vardas254           Pavarde254          7      1      8      3      9      2      
Vardas255           Pavarde255          10     5      4      5      9      4      
Vardas256           Pavarde256          2      6      1      5      5      10     
Vardas257           Pavarde257          10     3      3      8      10     10     
Vardas258           Pavarde258          6      2      5      5      5      3      
Vardas259           Pavarde259          7      8      9      6      4      3      
Vardas260           Pavarde260          10     1      1      7      6      7      
Vardas261           Pavarde261          6      10     10     3      8      4      
Vardas262           Pavarde262          10     8      6      3      4      4      
Vardas263           Pavarde263          5      1      9      10     5      7      
Vardas264           Pavarde264          9      8      7      5      1      9      
Vardas265           Pavarde265          3      5      2      1      8      3      
Vardas266           Pavarde266          5      10     1      10     2      10     
Vardas267           Pavarde267          2      3      1      10     3      6      
Vardas268           Pavarde268          8      9      7      10     7      2      
Vardas269           Pavarde269          10     9      2      10     1      5      
Vardas270           Pavarde270          10     4      2      3      5      8      
Vardas271           Pavarde271          8      9      10     3      10     3      
Vardas272           Pavarde272          8      8      9      2      3      10     
Vardas273           Pavarde273          9      9      5      6      3      1      
Vardas274           Pavarde274          2      6      10     1      7      2      
Vardas275           Pavarde275          2      4      5      6      6      7      
Vardas276           Pavarde276          5      1      1      3      7      10     
Vardas277           Pavarde277          1      10     4      6      5      1      
Vardas278           Pavarde278          6      10     7      1      2      8      
Vardas279           Pavarde279          2      7      9      5      4      8      
Vardas280           Pavarde280          7      6      4      6      6      3      
Vardas281           Pavarde281          10     2      9      5      8      1      
Vardas282           Pavarde282          10     5      3      6      1      7      
Vardas283           Pavarde283          9      5      4      4      8      10     
Vardas284           Pavarde284          7      7      1      6      1      3      
Vardas285           Pavarde285          5      8      6      10     2      2      
Vardas286           Pavarde286          9      9      8      5      6      9      
Vardas287           Pavarde287          3      2      9      10     8      3      
Vardas288           Pavarde288          9      9      6      5      7      7      
Vardas289           Pavarde289          2      8      7      5      7      1      
Vardas290           Pavarde290          1      5      5      1      8      2      
Vardas291           Pavarde291          9      4      7      7      4      4      
Vardas292           Pavarde292          6      5      3      7      3      7      
Vardas293           Pavarde293          5      4      9      5      9      8      
Vardas294           Pavarde294          7      3      5      4      8      9      
Vardas295           Pavarde295          8      10     6      6      1      10     
Vardas296           Pavarde296          5      3      7      2      10     7      
Vardas297           Pavarde297          9      5      7      10     7      2      
Vardas298           Pavarde298          7      4      3      2      5      9      
Vardas299           Pavarde299          8      1      7      8      10     5      
Vardas300           Pavarde300          4      9      6      5      6      10     
Vardas301           Pavarde301          4      8      2      4      10     3      
Vardas302           Pavarde302          9      9      3      1      10     1      
Vardas303           Pavarde303          4      7      4      8      6      1      
Vardas304           Pavarde304          5      1      5      10     1      9      
Vardas305           Pavarde305          2      10     4      3      10     5      
Vardas306           Pavarde306          7      3      3      10     2      9      
Vardas307           Pavarde307          5      6      1      6      8      9      
Vardas308           Pavarde308          6      9      8      7      7      9      
Vardas309           Pavarde309          9      2      8      8      1      4      
Vardas310           Pavarde310          6      3      6      2      2      10     
Vardas311           Pavarde311          3      8      5      1      8      3      
Vardas312           Pavarde312          9      8      3      10     7      4      
Vardas313           Pavarde313          5      5      4      2      8      8      
Vardas314           Pavarde314          9      4      6      3      5      8      
Vardas315           Pavarde315          8      5      2      10     10     4      
Vardas316           Pavarde316          6      1      9      7      7      2      
Vardas317           Pavarde317          7      6      2      4      7      6      
Vardas318           Pavarde318          6      3      1      10     10     8      
Vardas319           Pavarde319          6      7      7      8      4      1      
Vardas320           Pavarde320          10     2      7      9      4      10     
Vardas321           Pavarde321          1      5      1      10     5      10     
Vardas322           Pavarde322          9      3      5      3      3      6      
Vardas323           Pavarde323          1      1      7      1      8      10     
Vardas324           Pavarde324          6      8      3      9      7      8      
Vardas325           Pavarde325          4      8      10     10     6      9      
Vardas326           Pavarde326          7      1      5      3      2      1      
Vardas327           Pavarde327          1      4      5      2      7      6      
Vardas328           Pavarde328          1      9      7      7      4      9      
Vardas329           Pavarde329          6      1      2      8      8      10     
Vardas330           Pavarde330          2      2      8      4      10     10     
Vardas331           Pavarde331          8      3      5      10     3      9      
Vardas332           Pavarde332          3      6      3      5      2      3      
Vardas333           Pavarde333          10     6      8      9      9      1      
Vardas334           Pavarde334          7      10     6      6      5      4      
Vardas335           Pavarde335          3      3      5      7      6      4      
Vardas336           Pavarde336          8      1      8      7      5      3      
Vardas337           Pavarde337          1      3      1      3      4      6      
Vardas338           Pavarde338          5      1      7      4      3      5      
Vardas339           Pavarde339          9      1      1      6      6      1      
Vardas340           Pavarde340          8      6      1      7      8      4      
Vardas341           Pavarde341          8      7      1      10     4      9      
Vardas342           Pavarde342          1      9      4      10     7      6      
Vardas343           Pavarde343          4      2      9      7      9      8      
Vardas344           Pavarde344          8      4      4      8      2      3      
Vardas345           Pavarde345          1      6      7      5      10     2      
Vardas346           Pavarde346          4      7      10     4      9      10     
Vardas347           Pavarde347          8      1      10     8      8      5      
Vardas348           Pavarde348          8      4      10     5      7      1      
Vardas349           Pavarde349          9      1      7      6      4      3      
Vardas350           Pavarde350          2      3      10     2      5      1      
Vardas351           Pavarde351          10     6      7      1      10     1      
Vardas352           Pavarde352          8      1      8      8      2      5      
Vardas353           Pavarde353          9      6      10     7      3      9      
Vardas354           Pavarde354          5      8      8      5      8      9      
Vardas355           Pavarde355          7      4      5      4      5      4      
Vardas356           Pavarde356          2      9      5      6      5      8      
Vardas357           Pavarde357          3      7      4      5      4      1      
Vardas358           Pavarde358          7      2      5      10     3      6      
Vardas359           Pavarde359          9      8      10     10     5      6      
Vardas360           Pavarde360          6      6      5      1      10     3      
Vardas361           Pavarde361          10     4      7      6      7      10     
Vardas362           Pavarde362          1      2      4      9      8      9      
Vardas363           Pavarde363          1      7      5      10     6      3      
Vardas364           Pavarde364          4      3      8      3      7      5      
Vardas365           Pavarde365          7      9      8      9      10     6      
Vardas366           Pavarde366          7      9      8      6      6      2      
Vardas367           Pavarde367          10     8      5      2      9      7      
Vardas368           Pavarde368          5      1      2      3      8      2      
Vardas369           Pavarde369          4      3      7      9      3      7      
Vardas370           Pavarde370          9      1      4      6      1      4      
Vardas371           Pavarde371          2      4      9      1      9      1      
Vardas372           Pavarde372          2      1      5      5      9      4      
Vardas373           Pavarde373          6      3      9      10     6      6      
Vardas374           Pavarde374          4      5      8      9      6      9      
Vardas375           Pavarde375          10     3      9      5      4      6      
Vardas376           Pavarde376          6      1      9      8      8      5      
Vardas377           Pavarde377          2      7      6      8      8      8      
Vardas378           Pavarde378          8      9      3      6      5      6      
Vardas379           Pavarde379          4      7      6      5      4      3      
Vardas380           Pavarde380          10     8      5      8      5      8      
Vardas381           Pavarde381          2      1      3      4      8      10     
Vardas382           Pavarde382          1      1      7      10     6      7      
Vardas383           Pavarde383          9      4      6      4      4      10     
Vardas384           Pavarde384          10     6      7      1      9      8      
Vardas385           Pavarde385          3      8      10     10     8      6      
Vardas386           Pavarde386          4      3      2      8      10     9      
Vardas387           Pavarde387          3      9      2      8      8      1      
Vardas388           Pavarde388          2      10     4      1      2      10     
Vardas389           Pavarde389          7      3      10     8      6      8      
Vardas390           Pavarde390          2      5      6      1      5      7      
Vardas391           Pavarde391          2      5      3      5      7      10     
Vardas392           Pavarde392          6      10     7      5      4      10     
Vardas393           Pavarde393          1      4      7      8      7      1      
Vardas394           Pavarde394          3      1      3      10     4      9      
Vardas395           Pavarde395          6      7      3      7      6      5      
Vardas396           Pavarde396          1      8      9      6      8      10     
Vardas397           Pavarde397          6      1      3      4      6      10     
Vardas398           Pavarde398          9      8      8      10     2      3      
Vardas399           Pavarde399          4      2      7      10     6      10     
Vardas400           Pavarde400          6      6      10     10     1      10     
Vardas401           Pavarde401          10     7      4      3      8      9      
Vardas402           Pavarde402          5      1      10     5      9      7      
Vardas403           Pavarde403          2      6      1      8      1      1      
Vardas404           Pavarde404          8      2      4      7      8      9      
Vardas405           Pavarde405          2      3      10     2      2      6      
Vardas406           Pavarde406          6      9      10     3      1      8      
Vardas407           Pavarde407          3      9      4      5      8      4      
Vardas408           Pavarde408          10     6      8      7      10     10     
Vardas409           Pavarde409          6      1      2      5      7      5      
Vardas410           Pavarde410          9      6      5      9      4      10     
Vardas411           Pavarde411          6      5      4      8      6      8      
Vardas412           Pavarde412          9      4      8      5      9      6      
Vardas413           Pavarde413          1      9      8      3      1      10     
Vardas414           Pavarde414          2      9      5      10     8      8      
Vardas415           Pavarde415          3      9      2      7      6      7      
Vardas416           Pavarde416          6      8      3      9      8      9      
Vardas417           Pavarde417          7      10     4      7      8      8      
Vardas418           Pavarde418          4      1      6      6      1      3      
Vardas419           Pavarde419          3      10     10     1      4      5      
Vardas420           Pavarde420          2      5      1      3      10     9      
Vardas421           Pavarde421          10     6      2      5      1      7      
Vardas422           Pavarde422          10     9      10     2      3      6      
Vardas423           Pavarde423          8      1      7      3      1      1      
Vardas424           Pavarde424          8      1      8      2      1      9      
Vardas425           Pavarde425          9      7      6      8      10     8      
Vardas426           Pavarde426          10     5      7      4      1      3      
Vardas427           Pavarde427          3      9      7      5      6      9      
Vardas428           Pavarde428          9      4      9      1      5      4      
Vardas429           Pavarde429          5      4      4      9      9      5      
Vardas430           Pavarde430          2      8      1      9      9      8      
Vardas431           Pavarde431          2      6      6      2      2      8      
Vardas432           Pavarde432          5      2      9      6      3      6      
Vardas433           Pavarde433          6      9      1      9      3      4      
Vardas434           Pavarde434          3      10     9      9      6      7      
Vardas435           Pavarde435          4      6      7      10     5      8      
Vardas436           Pavarde436          7      4      4      7      5      1      
Vardas437           Pavarde437          6      5      5      9      10     6      
Vardas438           Pavarde438          5      6      10     1      6      9      
Vardas439           Pavarde439          8      6      5      3      9      3      
Vardas440           Pavarde440          3      2      6      9      6      9      
Vardas441           Pavarde441          3      8      10     1      1      5      
Vardas442           Pavarde442          5      2      2      4      3      2      
Vardas443           Pavarde443          6      6      8      8      9      7      
Vardas444           Pavarde444          9      7      4      9      10     1      
Vardas445           Pavarde445          2      10     7      5      10     2      
Vardas446           Pavarde446          5      9      2      3      5      10     
Vardas447           Pavarde447          4      5      7      7      1      2      
Vardas448           Pavarde448          9      6      6      8      7      4      
Vardas449           Pavarde449          5      5      8      1      5      7      
Vardas450           Pavarde450          3      2      3      7      10     4      
Vardas451           Pavarde451          7      5      8      4      6      10     
Vardas452           Pavarde452          10     2      7      8      5      10     
Vardas453           Pavarde453          4      5      1      4      2      1      
Vardas454           Pavarde454          3      2      1      2      3      4      
Vardas455           Pavarde455          6      7      10     6      8      6      
Vardas456           Pavarde456          8      4      5      5      1      10     
Vardas457           Pavarde457          2      6      7      9      9      6      
Vardas458           Pavarde458          7      6      8      10     7      8      
Vardas459           Pavarde459          1      4      9      6      4      7      
Vardas460           Pavarde460          6      9      9      10     2      6      
Vardas461           Pavarde461          8      9      4      2      9      10     
Vardas462           Pavarde462          3      10     9      8      10     7      
Vardas463           Pavarde463          10     5      10     5      5      5      
Vardas464           Pavarde464          10     7      6      4      9      8      
Vardas465           Pavarde465          3      10     10     2      7      8      
Vardas466           Pavarde466          9      3      1      10     1      9      
Vardas467           Pavarde467          9      1      8      3      3      7      
Vardas468           Pavarde468          10     4      5      6      3      2      
Vardas469           Pavarde469          2      8      2      8      1      5      
Vardas470           Pavarde470          1      4      7      7      1      10     
Vardas471           Pavarde471          5      2      9      10     10     9      
Vardas472           Pavarde472          10     9      2      5      9      9      
Vardas473           Pavarde473          8      6      8      10     8      10     
Vardas474           Pavarde474          7      5      8      6      10     4      
Vardas475           Pavarde475          8      5      9      6      6      4      
Vardas476           Pavarde476          1      6      7      5      1      2      
Vardas477           Pavarde477          8      6      9      5      3      7      
Vardas478           Pavarde478          4      6      7      8      10     9      
Vardas479           Pavarde479          1      9      7      2      1      9      
Vardas480           Pavarde480          7      9      3      2      2      4      
Vardas481           Pavarde481          9      6      2      10     10     10     
Vardas482           Pavarde482          1      8      8      4      6      6      
Vardas483           Pavarde483          2      7      6      3      2      5      
Vardas484           Pavarde484          1      8      8      8      2      6      
Vardas485           Pavarde485          4      9      10     4      2      9      
Vardas486           Pavarde486          4      7      9      3      5      3      
Vardas487           Pavarde487          4      9      4      10     8      6      
Vardas488           Pavarde488          10     3      2      3      9      7      
Vardas489           Pavarde489          7      3      5      3      10     9      
Vardas490           Pavarde490          2      4      2      5      2      10     
Vardas491           Pavarde491          9      10     4      1      6      1      
Vardas492           Pavarde492          9      3      2      8      1      1      
Vardas493           Pavarde493          6      4      7      7      9      4      
Vardas494           Pavarde494          7      5      10     4      2      7      
Vardas495           Pavarde495          3      10     1      5      9      1      
Vardas496           Pavarde496          9      9      6      6      6      4      
Vardas497           Pavarde497          3      2      2      5      9      4      
Vardas498           Pavarde498          2      9      7      5      7      7      
Vardas499           Pavarde499          9      5      6      6      8      1      
Vardas500           Pavarde500          9      9      2      4      6      5      
Vardas501           Pavarde501          4      1      1      4      2      1      
Vardas502           Pavarde502          10     3      8      7      1      1      
Vardas503           Pavarde503          10     5      9      4      8      1      
Vardas504           Pavarde504          6      3      10     3      10     2      
Vardas505           Pavarde505          3      2      4      8      7      10     
Vardas506           Pavarde506          4      2      7      3      10     6      
Vardas507           Pavarde507          7      8      9      1      6      2      
Vardas508           Pavarde508          9      8      2      8      4      7      
Vardas509           Pavarde509          4      1      7      8      9      6      
Vardas510           Pavarde510          5      3      1      2      9      8      
Vardas511           Pavarde511          5      2      7      9      9      2      
Vardas512           Pavarde512          4      7      4      3      2      10     
Vardas513           Pavarde513          9      8      2      3      4      7      
Vardas514           Pavarde514          5      6      6      8      1      1      
Vardas515           Pavarde515          6      2      8      3      8      1      
Vardas516           Pavarde516          10     3      1      1      1      6      
Vardas517           Pavarde517          9      1      10     10     8      2      
Vardas518           Pavarde518          7      4      2      5      10     2      
Vardas519           Pavarde519          8      1      10     1      6      6      
Vardas520           Pavarde520          6      6      2      1      1      10     
Vardas521           Pavarde521          4      7      7      3      10     7      
Vardas522           Pavarde522          3      5      6      4      5      7      
Vardas523           Pavarde523          3      9      5      7      7      1      
Vardas524           Pavarde524          6      1      7      2      2      7      
Vardas525           Pavarde525          2      6      7      2      9      10     
Vardas526           Pavarde526          1      10     6      4      2      2      
Vardas527           Pavarde527          1      2      1      9      10     4      
Vardas528           Pavarde528          7      7      7      1      9      10     
Vardas529           Pavarde529          10     8      4      5      5      4      
Vardas530           Pavarde530          5      3      9      5      4      10     
Vardas531           Pavarde531          8      4      2      5      3      6      
Vardas532           Pavarde532          7      4      8      5      3      2      
Vardas533           Pavarde533          4      10     2      1      7      2      
Vardas534           Pavarde534          3      4      6      5      5      4      
Vardas535           Pavarde535          10     6      9      1      6      8      
